variant_label,variant,seed,halting_threshold,router_threshold,benchmark_tokens_per_second,average_forward_time_ms,peak_gpu_memory_mb,mean_attention_trigger_rate,mean_active_fraction,mean_halted_fraction,mean_halt_step,mean_executed_steps,logit_l2_vs_plain_mamba3,logit_mae_vs_plain_mamba3,json_path,log_path,command
fullB,full,1,0.5,0.5,1649.8839333348085,9.697651863098145,11.40771484375,0.75,0.390625,0.609375,1.5625,2.0,104.70405578613281,0.6537789106369019,results/fullb_experiments/sweep_fullB_b1_p16_seed1_h0p5_r0p5.json,results/fullb_experiments/logs/sweep_fullB_b1_p16_seed1_h0p5_r0p5.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant full --seed 1 --halt-threshold 0.5 --router-threshold 0.5 --output-json results/fullb_experiments/sweep_fullB_b1_p16_seed1_h0p5_r0p5.json
fullB,full,1,0.5,0.7,1562.506292273484,10.239958763122559,10.28173828125,0.0,0.390625,0.609375,1.5625,2.0,104.51649475097656,0.6526870727539062,results/fullb_experiments/sweep_fullB_b1_p16_seed1_h0p5_r0p7.json,results/fullb_experiments/logs/sweep_fullB_b1_p16_seed1_h0p5_r0p7.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant full --seed 1 --halt-threshold 0.5 --router-threshold 0.7 --output-json results/fullb_experiments/sweep_fullB_b1_p16_seed1_h0p5_r0p7.json
fullB,full,1,0.7,0.3,1570.9849547143222,10.184693336486816,11.44970703125,1.0,0.90625,0.09375,1.90625,2.0,104.77407836914062,0.6542505025863647,results/fullb_experiments/sweep_fullB_b1_p16_seed1_h0p7_r0p3.json,results/fullb_experiments/logs/sweep_fullB_b1_p16_seed1_h0p7_r0p3.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant full --seed 1 --halt-threshold 0.7 --router-threshold 0.3 --output-json results/fullb_experiments/sweep_fullB_b1_p16_seed1_h0p7_r0p3.json
fullB,full,1,0.7,0.5,1611.9442019107782,9.925901889801025,11.36572265625,0.5,0.875,0.125,1.875,2.0,105.0157699584961,0.656294584274292,results/fullb_experiments/sweep_fullB_b1_p16_seed1_h0p7_r0p5.json,results/fullb_experiments/logs/sweep_fullB_b1_p16_seed1_h0p7_r0p5.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant full --seed 1 --halt-threshold 0.7 --router-threshold 0.5 --output-json results/fullb_experiments/sweep_fullB_b1_p16_seed1_h0p7_r0p5.json
fullB,full,1,0.7,0.7,1690.278254583739,9.46589708328247,10.28173828125,0.0,0.875,0.125,1.875,2.0,104.8775634765625,0.6549324989318848,results/fullb_experiments/sweep_fullB_b1_p16_seed1_h0p7_r0p7.json,results/fullb_experiments/logs/sweep_fullB_b1_p16_seed1_h0p7_r0p7.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant full --seed 1 --halt-threshold 0.7 --router-threshold 0.7 --output-json results/fullb_experiments/sweep_fullB_b1_p16_seed1_h0p7_r0p7.json
fullB,full,1,0.9,0.3,1461.1101882101152,10.95057725906372,11.44970703125,1.0,1.0,0.0,2.0,2.0,103.98342895507812,0.650007963180542,results/fullb_experiments/sweep_fullB_b1_p16_seed1_h0p9_r0p3.json,results/fullb_experiments/logs/sweep_fullB_b1_p16_seed1_h0p9_r0p3.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant full --seed 1 --halt-threshold 0.9 --router-threshold 0.3 --output-json results/fullb_experiments/sweep_fullB_b1_p16_seed1_h0p9_r0p3.json
fullB,full,1,0.9,0.5,1637.5344574950009,9.770786762237549,11.32373046875,0.25,1.0,0.0,2.0,2.0,103.96464538574219,0.6489171981811523,results/fullb_experiments/sweep_fullB_b1_p16_seed1_h0p9_r0p5.json,results/fullb_experiments/logs/sweep_fullB_b1_p16_seed1_h0p9_r0p5.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant full --seed 1 --halt-threshold 0.9 --router-threshold 0.5 --output-json results/fullb_experiments/sweep_fullB_b1_p16_seed1_h0p9_r0p5.json
fullB,full,1,0.9,0.7,1617.1102851256348,9.894192218780518,10.28173828125,0.0,1.0,0.0,2.0,2.0,104.19587707519531,0.6508943438529968,results/fullb_experiments/sweep_fullB_b1_p16_seed1_h0p9_r0p7.json,results/fullb_experiments/logs/sweep_fullB_b1_p16_seed1_h0p9_r0p7.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant full --seed 1 --halt-threshold 0.9 --router-threshold 0.7 --output-json results/fullb_experiments/sweep_fullB_b1_p16_seed1_h0p9_r0p7.json
plain,plain,2,0.5,0.5,5259.624507710093,3.0420422554016113,9.58935546875,,,,,,,,results/fullb_experiments/sweep_plain_b1_p16_seed2.json,results/fullb_experiments/logs/sweep_plain_b1_p16_seed2.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant plain --seed 2 --output-json results/fullb_experiments/sweep_plain_b1_p16_seed2.json
always_attention,always_attention,2,0.5,0.0,1474.7223778790096,10.849499702453613,11.44970703125,1.0,1.0,0.0,2.0,2.0,103.6830825805664,0.6461940407752991,results/fullb_experiments/sweep_always_attention_b1_p16_seed2.json,results/fullb_experiments/logs/sweep_always_attention_b1_p16_seed2.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant always_attention --seed 2 --output-json results/fullb_experiments/sweep_always_attention_b1_p16_seed2.json
